Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
BABA MAKHANA CHEESY SALT & BLC P - 16 GM,0.0,450.0,1440.0,1350.0,1170.0,1440.0,1710.0,360.0,1080.0,2520.0,720.0,0
BABA MAKHANA LEMON MASALA TWIST - 16GM,1770.0,2390.0,3514.0,3980.0,3618.0,4323.0,4180.0,2940.0,2600.0,2637.0,1539.0,0
BABA MAKHANA LEMON MASALA TWIST - 75 GM,72.0,48.0,0.0,48.0,48.0,0.0,24.0,0.0,0.0,48.0,0.0,0
BABA MAKHANA PERI PERI MASALA 80GM,0.0,0.0,0.0,0.0,0.0,20.0,88.0,8.0,0.0,0.0,0.0,0
BABA MAKHANA PERI PERI TWIST - 16GM,0.0,450.0,1440.0,1440.0,720.0,720.0,450.0,900.0,990.0,1080.0,450.0,0
BABA MAKHANA PUDINA MASALA 80GM,0.0,0.0,0.0,0.0,0.0,20.0,88.0,8.0,0.0,0.0,0.0,0
BABA MAKHANA PUDINA MASALA TWIST - 16GM,1973.0,2330.0,3946.0,4660.0,5160.0,4677.0,4800.0,4470.0,3649.0,3118.0,1620.0,0
BABA MAKHANA PUDINA MASALA TWIST - 75 GM,96.0,48.0,0.0,24.0,144.0,24.0,0.0,0.0,24.0,48.0,0.0,0
BABA MAKHANA SALT & BLC PPR 80GM,0.0,0.0,0.0,0.0,0.0,20.0,172.0,8.0,0.0,24.0,0.0,0
BABA NATURE'S MIRACLE AGLIO SAUCE 150G,6.0,16.0,0.0,5.0,2.0,0.0,5.0,29.0,15.0,1.0,0.0,0
BABA NATURE'S MIRACLE AOBITA SAUCE 400G,0.0,6.0,0.0,6.0,0.0,18.0,0.0,0.0,24.0,5.0,0.0,0
BABA NATURE'S MIRACLE CHETTINAD GRAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0
BABA NATURE'S MIRACLE DATE SWTNR 200G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,0.0,0
BABA NATURE'S MIRACLE MAKHANI GRAVY 370g,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0
BABA NATURE'S MIRACLE RATATO SPREAD 175G,6.0,0.0,0.0,4.0,0.0,3.0,33.0,21.0,9.0,0.0,0.0,0
BABA NATURE'S MIRACLE S.WICH SPREAD 175G,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,16.0,0.0,0.0,0
BABA NATURE'S MIRACLE TOMATO SALSA 175,2.0,8.0,0.0,3.0,11.0,14.0,39.0,18.0,0.0,0.0,0.0,0
BABA SF ACHARI MANGO CHIPS-45G,134.0,180.0,0.0,270.0,0.0,0.0,90.0,89.0,178.0,270.0,0.0,0
BABA SF ASSORTED BOX MAKHANA 3CANS*80G,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0
BABA SF PUDINA MIX CHIPS-45G,90.0,90.0,90.0,270.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0
BABA SF SALT & PEPPER CHIPS-45G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0
BOROLINE ANTISEPTIC CR 20G T 42/-,0.0,0.0,500.0,0.0,0.0,0.0,500.0,227.0,0.0,652.0,0.0,0
BOROLINE ANTISEPTIC CR 40G JAR 80/-,0.0,0.0,360.0,0.0,0.0,0.0,240.0,524.0,0.0,1117.0,0.0,0
BOROLINE SUTHOL CHANDAN 200ML 85/-,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE SUTHOL CHANDAN SPRAY 100ML,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE SUTHOL NEEM 100ML 48/-,0.0,0.0,240.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE SUTHOL NEEM 200ML 85/-,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE SUTHOL NEEM SPRAY 100ML,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE SX ANTISEPTIC CR 100G 185/-,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE ULTRA SMOOTH ANTISEPTIC CRM 100,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BOROLINE ULTRA SMOOTH CRM 20ml,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,159.0,0.0,0
BOROLINE ULTRA SMOOTH CRM 40GM,0.0,0.0,0.0,0.0,0.0,0.0,120.0,261.0,0.0,772.0,0.0,0
Denver Beer Shampoo Anti Dandruff 200ml,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Black Code Deo Cap,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Caliber Deo Cap,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Deo Blackcode 127G 280/-,3339.0,686.0,215.0,1160.0,124.0,0.0,222.0,12.0,63.0,119.0,6.0,0
Denver Deo Caliber 127gm 280/-,918.0,1524.0,1767.0,792.0,792.0,1326.0,735.0,290.0,807.0,870.0,6.0,0
Denver Deo Goal 127G 265/-,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Deo Hamilton 127gm 280/-,2059.0,4902.0,2016.0,3684.0,4047.0,5109.0,4649.0,3153.0,6441.0,3012.0,1215.0,0
Denver Deo Honour 127gm 280/-,488.0,1029.0,1149.0,900.0,435.0,123.0,480.0,243.0,205.0,138.0,12.0,0
Denver Deo Imperial 127gm 280/-,2542.0,2865.0,855.0,2904.0,2355.0,2223.0,2942.0,1683.0,1554.0,1641.0,1224.0,0
Denver Deo Men of Steel Drill 127G 280/-,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0
Denver Deo Pride 127gm 280/-,975.0,1037.0,438.0,1023.0,558.0,300.0,546.0,440.0,381.0,157.0,9.0,0
Denver Deo Rider 127G 265/-,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Deo Victor 127G 280/-,0.0,0.0,900.0,300.0,0.0,0.0,1800.0,0.0,0.0,900.0,720.0,0
Denver Facewash Acne Clear 100G 225/-,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Facewash Deep Clean 100G 225/-,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Facewash Oil Clear 100G 225/-,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Hamilton Deo Cap,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Imperial Deo Cap,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Denver Perfume Blackcode 70ml 349/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1824.0,1200.0,0
Denver Victor Deo Cap,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EARTHFRESH BROWN CHANA 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,60.0,120.0,0
EARTHFRESH CHANA BESAN 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,60.0,0
EARTHFRESH CHANA DAL 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0
EARTHFRESH GOBINDO BHOG RICE 1KG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0
EARTHFRESH GREEN MOONG 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,60.0,60.0,0
EARTHFRESH KABULI CHANA 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,100.0,120.0,0
EARTHFRESH KASHMIRI RAJMA 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,60.0,60.0,0
EARTHFRESH MASOOR MALKA 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,60.0,120.0,0
EARTHFRESH MATAR 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,60.0,90.0,0
EARTHFRESH MOONG DAL 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,60.0,120.0,0
EARTHFRESH TOOR DAL 1KG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,60.0,60.0,0
EARTHFRESH URAD DAL 500G POUCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,60.0,0
Envy Perfume Men 70ml Black 349/-,0.0,0.0,0.0,0.0,1200.0,1200.0,2256.0,0.0,1440.0,624.0,0.0,0
Envy Perfume Women 70ml White 349/-,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,1344.0,0.0,720.0,0.0,0
EVA BODY SPRAY DOLL 150ML,18.0,0.0,0.0,1104.0,0.0,0.0,607.0,0.0,0.0,24.0,0.0,0
EVA BODY SPRAY FRESH 125ML,1515.0,12.0,21.0,603.0,612.0,0.0,12.0,618.0,9.0,3.0,6.0,0
EVA BODY SPRAY FRESH 150ML,204.0,24.0,0.0,360.0,0.0,0.0,1212.0,0.0,0.0,24.0,0.0,0
EVA BODY SPRAY SWEET 150ML,0.0,24.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,24.0,0.0,0
EVA BODY SPRAY WILD 150ML,204.0,24.0,0.0,360.0,0.0,0.0,1212.0,0.0,0.0,0.0,0.0,0
EVA DEO SPRAY BLUSH 125ML,18.0,24.0,9.0,0.0,3.0,0.0,3.0,6.0,3.0,12.0,0.0,0
EVA DEO SPRAY COMBI 125ML 285/-,6.0,131.0,69.0,36.0,63.0,60.0,78.0,6.0,24.0,12.0,81.0,0
EVA DEO SPRAY COMBI 150ML,9.0,0.0,51.0,12.0,42.0,0.0,0.0,96.0,39.0,9.0,0.0,0
EVA DEO SPRAY COMBI 2G1 150ML 400/,18.0,112.0,80.0,388.0,57.0,31.0,64.0,74.0,33.0,25.0,60.0,0
EVA DEO SPRAY DEW 125ML,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVA DEO SPRAY DOLL 125ML,1509.0,51.0,12.0,1806.0,609.0,12.0,9.0,1215.0,12.0,0.0,6.0,0
